1. DEMAND/VOLUME,,,,,,,,,
,Column Labels,,,,,,,,
,EU,,UK,,Total Sum of Bottles Allocated,Total Sum of Bottles Sold,,,
Row Labels,Sum of Bottles Allocated,Sum of Bottles Sold,Sum of Bottles Allocated,Sum of Bottles Sold,,,,,
CC,520,494,740,689,1260,1183,,,
Core,48800,44411,42200,39215,91000,83626,,,
Creators Collection,4500,3930,4100,3068,8600,6998,,,
Heresy,10450,9407,10380,9087,20830,18494,,,
Vaults Collection,1500,1080,9200,5326,10700,6406,,,
VC,204,136,236,190,440,326,,,
Grand Total,65974,59458,66856,57575,132830,117033,,,
,,,,,,,,,
Row Labels,Sum of Sell Through (%),,,,,,,,
EU,69.25153846,,,,,,,,
CC,1.9,,,,,,,,
Core,46.86333333,,,,,,,,
Creators Collection,5.05,,,,,,,,
Heresy,12.70153846,,,,,,,,
Vaults Collection,0.72,,,,,,,,
VC,2.016666667,,,,,,,,
UK,63.37833333,,,,,,,,
CC,2.775,,,,,,,,
Core,38.97,,,,,,,,
Creators Collection,3.07,,,,,,,,
Heresy,11.6,,,,,,,,
Vaults Collection,4.53,,,,,,,,
VC,2.433333333,,,,,,,,
Grand Total,132.6298718,,,,,,,,
2. PRICING EFFICIENCY,,,,,,,,,
,,,,,,,,,
Avg Price Realisation (%) by Market × Collection Type,,,,,,,,,
Average of Pricing Realisation (%) ,Column Labels,,,,,,,,
Row Labels,EU,UK,Grand Total,,,,,,
CC,98.70%,97.75%,98.13%,,,,,,
Core,95.09%,94.93%,95.02%,,,,,,
Creators Collection,94.11%,93.37%,93.81%,,,,,,
Heresy,95.23%,93.07%,94.19%,,,,,,
Vaults Collection,93.38%,94.69%,94.55%,,,,,,
VC,98.46%,98.48%,98.47%,,,,,,
Grand Total,95.25%,94.75%,95.01%,,,,,,
Avg Price Uplift/Erosion (£) by Market × Collection Type,,,,,,,,,
Average of Price uplift / erosision (£),Column Labels,,,,,,,,
Row Labels,EU,UK,Grand Total,,,,,,
CC,-£2.00,-£4.00,-£3.20,,,,,,
Core,-£3.96,-£3.79,-£3.88,,,,,,
Creators Collection,-£12.83,-£13.25,-£13.00,,,,,,
Heresy,-£5.21,-£6.85,-£6.00,,,,,,
Vaults Collection,-£19.00,-£20.75,-£20.56,,,,,,
VC,-£8.33,-£8.67,-£8.50,,,,,,
Grand Total,-£5.19,-£6.92,-£6.03,,,,,,
,,,,,,,,,
3. PROFITABILITY,,,,,,,,,
,,,,,,,,,
Avg Realised Margin (%) by Market × Collection Type,,,,,,,,,
Average of Realised Margin %,Column Labels,,,,,,,,
Row Labels,EU,UK,Grand Total,,,,,,
CC,55.5,55.66666667,55.6,,,,,,
Core,42.49019608,41.97619048,42.25806452,,,,,,
Creators Collection,45.66666667,42,44.2,,,,,,
Heresy,44.07142857,41.92307692,43.03703704,,,,,,
Vaults Collection,37,43.5,42.77777778,,,,,,
VC,66.66666667,65.33333333,66,,,,,,
Grand Total,44.23376623,43.65753425,43.95333333,,,,,,
Margin Variance: Avg Realised Margin % vs Avg Planned Margin % by Market × Collection Type,,,,,,,,,
,Column Labels,,,,,,,,
,EU,,UK,,Total Average of Planned Margin %,Total Average of Realised Margin %,,,
Row Labels,Average of Planned Margin %,Average of Realised Margin %,Average of Planned Margin %,Average of Realised Margin %,,,,,
CC,57,55.5,58.66666667,55.66666667,58,55.6,,,
Core,47.31372549,42.49019608,47.23809524,41.97619048,47.27956989,42.25806452,,,
Creators Collection,49.66666667,45.66666667,47.25,42,48.7,44.2,,,
Heresy,48.42857143,44.07142857,48.92307692,41.92307692,48.66666667,43.03703704,,,
Vaults Collection,41,37,47.875,43.5,47.11111111,42.77777778,,,
VC,68,66.66666667,67,65.33333333,67.5,66,,,
Grand Total,48.67532468,44.23376623,48.89041096,43.65753425,48.78,43.95333333,,,
,,,,,,,,,
4. REVENUE EFFICIENCY,,,,,,,,,
,,,,,,,,,
Avg Revenue per Allocated Bottle (£) by Market × Collection Type,,,,,,,,,
Average of Revenue efficiency,Column Labels,,,,,,,,
Row Labels,EU,UK,Grand Total,,,,,,
CC,£150.10,£169.23,£161.58,,,,,,
Core,£69.46,£66.02,£67.91,,,,,,
Creators Collection,£160.79,£133.95,£150.05,,,,,,
Heresy,£93.44,£82.65,£88.24,,,,,,
Vaults Collection,£192.96,£209.59,£207.74,,,,,,
VC,£364.03,£389.18,£376.60,,,,,,
Grand Total,£96.11,£105.96,£100.90,,,,,,
